abandon v.   AAA/ə'bændən /   BBB bỏ, từ bỏ
shelf n.   AAA/ʃɛlf /   BBB kệ, ngăn, giá
shell n.   AAA/ʃɛl /   BBB vỏ, mai; vẻ bề ngoài
shelter n., v.   AAA/'ʃeltə /   BBB sự nương tựa, sự che chở, sự ẩn náu; che chở, bảo vệ
shift v., n.   AAA/ʃift /   BBB đổi chỗ, dời chỗ, chuyển, giao; sự thay đổi, sự luân phiên
shine v.   AAA/ʃain /   BBB chiếu sáng, tỏa sáng
shiny adj.   AAA/'∫aini /   BBB sáng chói, bóng
ship n.   AAA/ʃɪp /   BBB tàu, tàu thủy
shirt n.   AAA/ʃɜːt /   BBB áo sơ mi
shock n., v.   AAA/sok /   BBB sự đụng chạm, va chạm, sự kích động, sự choáng; chạm mạnh, va mạnh, gây sốc
shocking adj.   AAA/´ʃɔkiη /   BBB gây ra căm phẫn, tồi tệ, gây kích động
shocked adj.   AAA/sok /   BBB bị kích động, bị va chạm, bị sốc
shoe n.   AAA/ʃu: /   BBB giày
shoot v.   AAA/ʃut /   BBB vụt qua, chạy qua, ném, phóng, bắn; đâm ra, trồi ra
shooting n.   AAA/'∫u:tiη /   BBB sự bắn, sự phóng đi
shop n., v.   AAA/ʃɔp /   BBB cửa hàng; đi mua hầng, đi chợ
shopping n.   AAA/'ʃɔpiɳ /   BBB sự mua sắm
short adj.   AAA/ʃɔ:t /   BBB ngắn, cụt
shortly adv.   AAA/´ʃɔ:tli /   BBB trong thời gian ngắn, sớm
shot n.   AAA/ʃɔt /   BBB đạn, viên đạn
should modal v.   AAA/ʃud, ʃəd, ʃd /   BBB nên
shoulder n.   AAA/'ʃouldə /   BBB vai
shout v., n.   AAA/ʃaʊt /   BBB hò hét, reo hò; sự la hét, sự hò reo
show v., n.   AAA/ʃou /   BBB biểu diễn, trưng bày; sự biểu diễn, sự bày tỏ
shower n.   AAA/´ʃouə /   BBB vòi hoa sen, sự tắm vòi hoa sen
shut v., adj.   AAA/ʃʌt /   BBB đóng, khép, đậy; tính khép kín
shy adj.   AAA/ʃaɪ /   BBB nhút nhát, e thẹn
sick adj.   AAA/sick /   BBB ốm, đau, bệnh
side n.   AAA/said /   BBB mặt, mặt phẳng
sideways adj., adv.   AAA/´saidwə:dz /   BBB ngang, từ một bên; sang bên
sight n.   AAA/sait /   BBB cảnh đẹp; sự nhìn
sign n., v.   AAA/sain /   BBB dấu, dấu hiệu, kí hiệu; đánh dấu, viết ký hiệu
signal n., v.   AAA/'signəl /   BBB dấu hiệu, tín hiệu; ra hiệu, báo hiệu
signature n.   AAA/ˈsɪgnətʃər , ˈsɪgnəˌtʃʊər /   BBB chữ ký
significant adj.   AAA/sɪgˈnɪfɪkənt /   BBB nhiều ý nghĩa, quan trọng
significantly adv.   AAA/sig'nifikəntli /   BBB đáng kể
silence n.   AAA/ˈsaɪləns /   BBB sự im lặng, sự yên tĩnh
silent adj.   AAA/ˈsaɪlənt /   BBB im lặng, yên tĩnh
silk n.   AAA/silk /   BBB tơ , chỉ, lụa
silly adj.   AAA/´sili /   BBB ngớ ngẩn, ngu ngốc, khờ dại
silver n., adj.   AAA/'silvə /   BBB bạc, đồng bạc; làm bằng bạc, trắng như bạc
similar adj.   AAA/´similə /   BBB giống như, tương tự như
similarly adv.   AAA/´similəli /   BBB tương tự, giống nhau
simple adj.   AAA/'simpl /   BBB đơn, đơn giản, dễ dàng
simply adv.   AAA/´simpli /   BBB một cách dễ dàng, giản dị
since prep., conj., adv.   AAA/sins /   BBB từ, từ khi; từ khi, từ lúc đó; từ đó, từ lúc ấy
sincere adj.   AAA/sin´siə /   BBB thật thà, thẳng thắng, chân thành
sincerely adv.   AAA/sin'siəli /   BBB một cách chân thành
sing v.   AAA/siɳ /   BBB hát, ca hát
singing n.   AAA/´siηiη /   BBB sự hát, tiếng hát
singer n.   AAA/´siηə /   BBB ca sĩ
single adj.   AAA/'siɳgl /   BBB đơn, đơn độc, đơn lẻ
sink v.   AAA/sɪŋk /   BBB chìm, lún, đắm
sir n.   AAA/sə: /   BBB xưng hô lịch sự Ngài, Ông
sister n.   AAA/'sistə /   BBB chị, em gái
sit v.   AAA/sit /   BBB ngồi
site n.   AAA/sait /   BBB chỗ, vị trí
situation n.   AAA/,sit∫u'ei∫n /   BBB hoàn cảnh, địa thế, vị trí
size n.   AAA/saiz /   BBB cỡ
skilful  adj.   AAA/´skilful /   BBB tài giỏi, khéo tay
skilfully  adv.   AAA/´skilfulli /   BBB tài giỏi, khéo tay
skill n.   AAA/skil /   BBB kỹ năng, kỹ sảo
skilled adj.   AAA/skild /   BBB có kỹ năng, có kỹ sảo, khẻo tay; có kinh nghiệm,, lành nghề
skin n.   AAA/skin /   BBB da, vỏ
skirt n.   AAA/skɜːrt /   BBB váy, đầm
sky n.   AAA/skaɪ /   BBB trời, bầu trời
sleep v., n.   AAA/sli:p /   BBB ngủ; giấc ngủ
sleeve n.   AAA/sli:v /   BBB tay áo, ống tay
slice n., v.   AAA/slais /   BBB miếng, lát mỏng; cắt ra thành miếng mỏng, lát mỏng
slide v.   AAA/slaid /   BBB trượtc, chuyển động nhẹ, lướt qua
slight adj.   AAA/slait /   BBB mỏng manh, thon, gầy
slightly adv.   AAA/'slaitli /   BBB mảnh khảnh, mỏng manh, yếu ớt
slip v.   AAA/slip /   BBB trượt, tuột, trôi qua, chạy qua
slope n., v.   AAA/sloup /   BBB dốc, đường dốc, độ dốc; nghiêng, dốc
slow adj.   AAA/slou /   BBB chậm, chậm chạp
slowly adv.   AAA/'slouli /   BBB một cách chậm chạp, chậm dần
small adj.   AAA/smɔ:l /   BBB nhỏ, bé
smart adj.   AAA/sma:t /   BBB mạnh, ác liệt
smash v., n.   AAA/smæʃ /   BBB đập, vỡ tan thành mảnh; sự đập, vỡ tàn thành mảnh
smell v., n.   AAA/smɛl /   BBB ngửi; sự ngửi, khứu giác
smile v., n.   AAA/smail /   BBB cười, mỉm cười; nụ cười, vẻ tươi cười
smoke n., v.   AAA/smouk /   BBB khói, hơi thuốc; hút thuốc, bốc khói, hơi
smoking n.   AAA/smoukiη /   BBB sự hút thuốc
smooth adj.   AAA/smu:ð /   BBB nhẵn, trơn, mượt mà
smoothly adv.   AAA/smu:ðli /   BBB một cách êm ả, trôi chảy
snake n.   AAA/sneik /   BBB con rắn; người nham hiểm, xảo trá
snow n., v.   AAA/snou /   BBB tuyết; tuyết rơi
so adv., conj.   AAA/sou /   BBB như vậy, như thế; vì thế, vì vậy, vì thế cho nên
soap n.   AAA/soup /   BBB xà phòng
social adj.   AAA/'sou∫l /   BBB có tính xã hội
socially adv.   AAA/´souʃəli /   BBB có tính xã hội
society n.   AAA/sə'saiəti /   BBB xã hội
sock n.   AAA/sɔk /   BBB tất ngăns, miếng lót giày
soft adj.   AAA/sɔft /   BBB mềm, dẻo
softly adv.   AAA/sɔftli /   BBB một cách mềm dẻo
software n.   AAA/'sɔfweз /   BBB phần mềm 
soil n.   AAA/sɔɪl /   BBB đất trồng; vết bẩn
soldier n.   AAA/'souldʤə /   BBB lính, quân nhân
solid adj., n.   AAA/'sɔlid /   BBB rắn; thể rắn, chất rắnh
solution n.   AAA/sə'lu:ʃn /   BBB sự giải quyết, giải pháp
solve v.   AAA/sɔlv /   BBB giải, giải thích, giải quyết
some det., pron.   AAA/sʌm /   BBB or /səm / BBB một it, một vài
somebody pron.   AAA/'sʌmbədi /   BBB người nào đó
somehow adv.   AAA/´sʌm¸hau /   BBB không biết làm sao, bằng cách này hay cách khác
something pron.   AAA/'sʌmθiɳ /   BBB một điều gì đó, một việc gì đó, một cái gì đó
sometimes adv.   AAA/´sʌm¸taimz /   BBB thỉnh thoảng, đôi khi
somewhat adv.   AAA/´sʌm¸wɔt /   BBB đến mức độ nào đó, hơi, một chút
somewhere adv.   AAA/'sʌmweə /   BBB nơi nào đó. đâu đó
son n.   AAA/sʌn /   BBB con trai
song n.   AAA/sɔɳ /   BBB bài hát
soon adv.   AAA/su:n /   BBB sớm, chẳng bao lâu nữa
sore adj.   AAA/sɔr , soʊr /   BBB đau, nhức
sorry adj.   AAA/'sɔri /   BBB xin lỗi, lấy làm tiếc, lấy làm buồn
sort n., v.   AAA/sɔ:t /   BBB thứ, hạng loại; lựa chọn, sắp xếp, phân loại
soul n.   AAA/soʊl /   BBB tâm hồn, tâm trí, linh hồn
sound n., v.   AAA/sound /   BBB âm thanh; nghe
soup n.   AAA/su:p /   BBB xúp, canh, cháo
sour adj.   AAA/'sauə /   BBB chua, có vị giấm
source n.   AAA/sɔ:s /   BBB nguồn
south n., adj., adv.   AAA/sauθ /   BBB phương Nam, hướng Nam; ở phía Nam; hướng về phía Nam
southern adj.   AAA/´sʌðən /   BBB thuộc phương Nam
space n.   AAA/speis /   BBB khoảng trống, khoảng cách
spare adj., n.   AAA/speə /   BBB thừa thãi, dự trữ, rộng rãi; đồ dự trữ, đồ dự phòng
speak v.   AAA/spi:k /   BBB nói
spoken adj.   AAA/spoukn /   BBB nói theo 1 cách nào đó
speaker n.   AAA/ˈspikər /   BBB người nói, người diễn thuyết
special adj.   AAA/'speʃəl /   BBB đặc biệt, riêng biệt
specially adv.   AAA/´speʃəli /   BBB đặc biệt, riêng biệt
specialist n.   AAA/'spesʃlist /   BBB chuyên gia, chuyên viên
specific adj.   AAA/spi'sifik /   BBB đặc trưng, riêng biệt
specifically adv.   AAA/spi'sifikəli /   BBB đặc trưng, riêng biệt
speech n.   AAA/spi:tʃ /   BBB sự nói, khả năng nói, lời nói, cách nói, bài nói
speed n.   AAA/spi:d /   BBB tốc độ, vận tốc
spell v., n.   AAA/spel /   BBB đánh vần; sự thu hút, sự quyến rũ, say mê
spelling n.   AAA/´speliη /   BBB sự viết chính tả
spend v.   AAA/spɛnd /   BBB tiêu, xài
spice n.   AAA/spais /   BBB gia vị
spicy adj.   AAA/´spaisi /   BBB có gia vị
spider n.   AAA/´spaidə /   BBB con nhện
spin v.   AAA/spin /   BBB quay, quay tròn
spirit n.   AAA/ˈspɪrɪt /   BBB tinh thần, tâm hồn, linh hồn
spiritual adj.   AAA/'spiritjuəl /   BBB tinh thần, linh hồn
spite n.  AAA/spait /   BBB sự giận, sự hận thù; in spite of : mặc dù, bất chấp
split v., n.   AAA/split /   BBB chẻ, tách, chia ra; sự chẻ, sự tách, sự chia ra
spoil v.   AAA/spɔil /   BBB cướp, cướp đọat
spoon n.   AAA/spu:n /   BBB cái thìa
sport n.   AAA/spɔ:t /   BBB thể thao
spot n.   AAA/spɔt /   BBB dấu, đốm, vết
spray n., v.   AAA/spreɪ /   BBB máy, ống, bình phụt, bơm, phun; bơm, phun, xịt
spread v.   AAA/spred /   BBB trải, căng ra, bày ra; truyền bá
spring n.   AAA/sprɪŋ /   BBB mùa xuân
square adj., n.   AAA/skweə /   BBB vuông, vuông vắn; dạng hình vuông, hình vuông
squeeze v., n.   AAA/skwi:z /   BBB ép, vắt, xiết; sự ép, sự vắt, sự xiết
stable adj., n.   AAA/steibl /   BBB ổn định, bình tĩnh, vững vàng; chuồng ngưa
staff n.   AAA/sta:f  /   BBB gậy
stage n.   AAA/steɪdʒ /   BBB tầng, bệ
stair n.   AAA/steə /   BBB bậc thang
stamp n., v.   AAA/stæmp /   BBB tem; dán tem
stand v., n.   AAA/stænd /   BBB đứng, sự đứng
standard n., adj.   AAA/'stændəd /   BBB tiêu chuẩn, chuẩn, mãu; làm tiêu chuẩn, phù hợp với tiêu chuẩn
star n., v.   AAA/stɑ: /   BBB ngôi sao, dán sao, trang trí hình sao, đánh dấu sao
stare v., n.   AAA/'steә  /   BBB nhìm chằm chằm; sự nhìn chằm chằm
start v., n.   AAA/stɑ:t /   BBB bắt đầu, khởi động; sự bắt đầu, sự khởi đầu, khởi hành
state n., adj., v.   AAA/steit /   BBB nhà nước, quốc gia, chính quyền; nhà nước, có liên quan đến nhà nước; phát biểu, tuyên bố
statement n.   AAA/'steitmənt /   BBB sự bày tỏ, sự phát biểu; sự tuyên bố, sự trình bày
station n.   AAA/'steiʃn /   BBB trạm, điểm, đồn
statue n.   AAA/'stæt∫u: /   BBB tượng
status n.   AAA/ˈsteɪtəs , ˈstætəs /   BBB tình trạng
stay v., n.   AAA/stei /   BBB ở lại, lưu lại; sự ở lại, sự lưu lại
steady adj.   AAA/'stedi /   BBB vững chắc, vững vàng, kiến định
steadily adv.   AAA/'stedili /   BBB vững chắc, vững vàng, kiên định
unsteady adj.   AAA/ʌn´stedi /   BBB không chắc, không ổn định
steal v.   AAA/sti:l /   BBB ăn cắp, ăn trộm
steam n.   AAA/stim /   BBB hơi nước
steel n.   AAA/sti:l /   BBB thép, ngành thép
steep adj.   AAA/sti:p /   BBB dốc, dốc đứng
steeply adv.   AAA/'sti:pli /   BBB dốc, cheo leo
steer v.   AAA/stiə /   BBB lái 
step n., v.   AAA/step /   BBB bước; bước, bước đi
stick v., n.   AAA/stick /   BBB đâm, thọc, chọc, cắm, dính; cái gậy, qua củi, cán
sticky adj.   AAA/'stiki /   BBB dính, nhớt
stiff adj.   AAA/stif /   BBB cứng, cứng rắn, kiên quyết
stiffly adv.   AAA/'stifli /   BBB cứng, cứng rắn, kiên quyết
still adv., adj.   AAA/stil /   BBB đứng yên; vẫn, vẫn còn
sting v., n.   AAA/stiɳ /   BBB châm, chích, đốt; ngòi, vòi , nọc ; sự châm, chích..
stir v.   AAA/stə: /   BBB khuấy, đảo
stock n.   AAA/stə: /   BBB kho sự trữ, hàng dự trữ, vốn
stomach n.   AAA/ˈstʌmək /   BBB dạ dày
stone n.   AAA/stoun /   BBB đá
stop v., n.   AAA/stɔp /   BBB dừng, ngừng, nghỉ, thôi; sự dừng, sự ngừng, sự đỗ lại
store n., v.   AAA/stɔ: /   BBB cửa hàng, kho hàng; tích trữ, cho vào kho
storm n.   AAA/stɔ:m /   BBB cơn giông, bão
story n.   AAA/'stɔ:ri /   BBB chuyện, câu chuyện
stove n.   AAA/stouv /   BBB bếp lò, lò sưởi
straight adv., adj.   AAA/streɪt /   BBB thẳng, không cong
strain n.   AAA/strein /   BBB sự căng thẳng, sự căng
strange adj.   AAA/streindʤ /   BBB xa lạ, chưa quen
strangely adv.   AAA/streindʤli /   BBB lạ, xa lạ, chưa quen
stranger n.   AAA/'streinʤə /   BBB người lạ
strategy n.   AAA/'strætəʤɪ /   BBB chiến lược
stream n.   AAA/stri:m /   BBB dòng suối
street n.   AAA/stri:t /   BBB phố, đườmg phố
strength n.   AAA/'streɳθ /   BBB sức mạnh, sức khỏe
stressed adj.   AAA/strest /   BBB bị căng thẳng, bị ép, bị căng
stretch v.   AAA/strɛtʃ /   BBB căng ra, duỗi ra, kéo dài ra
strict adj.   AAA/strikt /   BBB nghiêm khắc, chặt chẽ,, khắt khe
strictly adv.   AAA/striktli /   BBB một cách nghiêm khắc
strike v., n.   AAA/straik /   BBB đánh, đập, bãi công, đình công; cuộc bãi công, cuộc đình công
striking adj.   AAA/'straikiɳ /   BBB nổi bật, gây ấn tượng
string n.   AAA/strɪŋ /   BBB dây, sợi dây
strip v., n.   AAA/strip /   BBB cởi, lột ; sự cởi quần áo
stripe n.   AAA/straɪp /   BBB sọc, vằn, viền
striped adj.   AAA/straipt /   BBB có sọc, có vằn
stroke n., v.   AAA/strouk /   BBB cú đánh, cú đòn; cái vuốt ve, sự vuốt ve; vuốt ve
strong adj.   AAA/strɔŋ , strɒŋ /   BBB khỏe, mạnh, bền, vững, chắc chắn
strongly adv.   AAA/strɔŋli /   BBB khỏe, chắc chắn
structure n.   AAA/'strʌkt∫ə /   BBB kết cấu, cấu trúc
struggle v., n.   AAA/'strʌg l /   BBB đấu tranh; cuộc đấu tranh, cuộc chiến đấu
student n.   AAA/'stju:dnt /   BBB sinh viên
studio n.   AAA/´stju:diou /   BBB xưởng phim, trường quay; phòng thu
study n., v.   AAA/'stʌdi /   BBB sự học tập, sự nghiên cứu; học tập, nghiên cứu
stuff n.   AAA/stʌf /   BBB chất liệu, chất
stupid adj.   AAA/ˈstupɪd , ˈstyupɪd /   BBB ngu ngốc, ngu đần, ngớ ngẩn
style n.   AAA/stail /   BBB phong cách, kiểu, mẫu, loại
subject n.   AAA/ˈsʌbdʒɪkt  /   BBB chủ đề, đề tài; chủ ngữ
substance n.   AAA/'sʌbstəns /   BBB chất liệu; bản chất; nội dung
substantial adj.   AAA/səb´stænʃəl /   BBB thực tế, đáng kể, quan trọng
substantially adv.   AAA/səb´stænʃəli /   BBB về thực chất, về căn bản
substitute n., v.   AAA/´sʌbsti¸tju:t /   BBB người, vật thay thế; thay thế
succeed v.   AAA/sәk'si:d /   BBB nối tiếp, kế tiếp; kế nghiệp, kế vị
success n.   AAA/sәk'si:d /   BBB sự thành công,, sự thành đạt
successful adj.   AAA/səkˈsɛsfəl /   BBB thành công, thắng lợi, thành đạt
successfully adv.   AAA/səkˈsɛsfəlli /   BBB thành công, thắng lợi, thành đạt
unsuccessful adj.   AAA/¸ʌnsək´sesful /   BBB không thành công, thất bại
such det., pron.   AAA/sʌtʃ /   BBB như thế, như vậy, như là
suck v.   AAA/sʌk /   BBB bú, hút; hấp thụ, tiếp thu
sudden adj.   AAA/'sʌdn /   BBB thình lình, đột ngột
suddenly adv.   AAA/'sʌdnli /   BBB thình lình, đột ngột
suffer v.   AAA/'sΛfә  /   BBB chịu đựng, chịu thiệt hại, đau khổ
suffering n.   AAA/'sΛfәriŋ /   BBB sự đau đớn, sự đau khổ
sufficient adj.   AAA/sə'fi∫nt /   BBB đủ, thích đáng
sufficiently adv.   AAA/sə'fiʃəntli /   BBB đủ, thích đáng
sugar n.   AAA/'ʃugə /   BBB đường
suggest v.   AAA/sə'dʤest /   BBB đề nghị, đề xuất; gợi
suggestion n.   AAA/sə'dʤestʃn /   BBB sự đề nghị, sự đề xuất, sự khêu gợi
suit n., v.   AAA/su:t /   BBB bộ com lê, trang phục; thích hợp, quen, hợp với
suited adj.   AAA/´su:tid /   BBB hợp, phù hợp, thích hợp với
suitable adj.   AAA/´su:təbl /   BBB hợp, phù hợp, thích hợp với
suitcase n.   AAA/´su:t¸keis /   BBB va li
sum n.   AAA/sʌm /   BBB tổng, toàn bộ
summary n.   AAA/ˈsʌməri /   BBB bản tóm tắt
summer n.   AAA/ˈsʌmər /   BBB mùa hè
sun n.   AAA/sʌn /   BBB mặt trời
sunday n.   AAA/´sʌndi /   BBB chủ nhật
superior adj.   AAA/su:'piәriә  /   BBB cao, chất lượng cao
supermarket n.   AAA/´su:pə¸ma:kit /   BBB siêu thị
supply n., v.   AAA/sə'plai /   BBB sự cung cấp, nguồn cung cấp; cung cấp, đáp ứng, tiếp tế
support n., v.   AAA/sə´pɔ:t /   BBB sự chống đỡ, sự ủng hộ; chống đỡ, ủng hộ
supporter n.   AAA/sə´pɔ:tə /   BBB vật chống đỡ; người cổ vũ, người ủng hộ
suppose v.   AAA/sә'pәƱz /   BBB cho rằng, tin rằng, nghĩ rằng
sure adj., adv.   AAA/ʃuə /   BBB chắc chắn, xác thực
surely adv.   AAA/´ʃuəli /   BBB chắc chắn
surface n.   AAA/ˈsɜrfɪs /   BBB mặt, bề mặt
surname n.   AAA/ˈsɜrˌneɪm /   BBB họ
surprise n., v.   AAA/sə'praiz /   BBB sự ngạc nhiên, sự bất ngờ; làm ngạc nhiên, gây bất ngờ
surprising adj.   AAA/sə:´praiziη /   BBB làm ngạc nhiên, làm bất ngờ
surprisingly adv.   AAA/sə'praiziηli /   BBB làm ngạc nhiên, làm bất ngờ
surprised adj.   AAA/sə:´praizd /   BBB ngạc nhiên 
surround v.   AAA/sә'raƱnd /   BBB vây quanh, bao quanh
surrounding adj.   AAA/sə.ˈrɑʊn.diɳ /   BBB sự vây quanh, sự bao quanh
surroundings n.   AAA/sə´raundiηz /   BBB vùng xung quanh, môi trường xung quanh
survey n., v.   AAA/'sə:vei /   BBB sự nhìn chung, sự khảo sát; quan sát, nhìn chung, khảo sát, nghiên cứu
survive v.   AAA/sə'vaivə /   BBB sống lâu hơn, tiếp tục sống, sống sót
suspect v., n.   AAA/səs´pekt /   BBB nghi ngờ, hoài nghi; người khả nghi, người bị tình nghi
suspicion n.   AAA/səs'pi∫n /   BBB sự nghi ngờ, sự ngờ vực
suspicious adj.   AAA/səs´piʃəs /   BBB có sự nghi ngờ, tỏ ra nghi ngờ, khả nghi
swallow v.   AAA/'swɔlou /   BBB nuốt, nuốt chửng
swear v.   AAA/sweə /   BBB chửi rủa, nguyền rủa; thề, hứa
sweat n., v.   AAA/swet /   BBB mồ hôi; đổ mồ hôi
sweater n.   AAA/'swetз /   BBB người ra mồ hôi,, kẻ bóc lột lao động
sweep v.   AAA/swi:p /   BBB quét
sweet adj., n.   AAA/swi:t /   BBB ngọt, có vị ngọt; sự ngọt bùi, đồ ngọt
swell v.   AAA/swel /   BBB phồng, sưng lên
swelling n.   AAA/´sweliη /   BBB sự sưng lên, sự phồng ra
swollen adj.   AAA/´swoulən /   BBB sưng phồng, phình căng
swim v.   AAA/swim /   BBB bơi lội
swimming n.   AAA/´swimiη /   BBB sự bơi lội
swing n., v.   AAA/swiŋ /   BBB sự đu đưa, lúc lắc; đánh đu, đu đưa, lúc lắc
switch n., v.   AAA/switʃ /   BBB công tắc, roi; tắt, bật, đánh bằng gậy, roi
swollen swell v.   AAA/´swoulən /   BBB /swel / BBB phồng lên, sưng lên
symbol n.   AAA/simbl /   BBB biểu tượng, ký hiệu
sympathetic adj.   AAA/¸simpə´θetik /   BBB đồng cảm, đáng mến, dễ thương
sympathy n.   AAA/´simpəθi /   BBB sự đồng cảm, sự đồng ý
system n.   AAA/'sistim /   BBB hệ thống, chế độ
table n.   AAA/'teibl /   BBB cái bàn
tablet n.   AAA/'tæblit /   BBB tấm, bản, thẻ phiến 
tackle v., n.   AAA/'tækl /   BBB or /'teikl / BBB giải quyết, khắc phục, bàn thảo; đồ dùng, dụng cụ
tail n.   AAA/teil /   BBB đuôi, đoạn cuối
take v.   AAA/teik /   BBB sự cầm nắm, sự lấy
talk v., n.   AAA/tɔ:k /   BBB nói chuyện, trò chuyện; cuộc trò chuyện, cuộc thảo luận
tall adj.   AAA/tɔ:l /   BBB cao
tank n.   AAA/tæŋk /   BBB thùng, két, bể
tap v., n..   AAA/tæp /   BBB mở vòi, đóng vồi; vòi, khóa
tape n.   AAA/teip /   BBB băng, băng ghi âm; dải, dây
target n.   AAA/'ta:git /   BBB bia, mục tiêu, đích
task n.   AAA/tɑːsk /   BBB nhiệm vụ, nghĩa vụ, bài tập, công tác, công việc
taste n., v.   AAA/teist /   BBB vị, vị giác; nếm
tax n., v.   AAA/tæks /   BBB thuế; đánh thuế
taxi n.   AAA/'tæksi /   BBB xe tắc xi
tea n.   AAA/ti: /   BBB cây chè, trà, chè
teach v.   AAA/ti:tʃ /   BBB dạy
teaching n.   AAA/'ti:t∫iŋ /   BBB sự dạy, công việc dạy học
teacher n.   AAA/'ti:t∫ə /   BBB giáo viên
team n.   AAA/ti:m /   BBB đội, nhóm
tear v., n.   AAA/tiə /   BBB xé, làm rắch; chỗ rách, miếng xe; nước mắt
technical adj.   AAA/'teknikl /   BBB kỹ thuật, chuyên môn
technique n.   AAA/tek'ni:k /   BBB kỹ sảo, kỹ thuật, phương pháp kỹ thuật
technology n.   AAA/tek'nɔlədʤi /   BBB kỹ thuật học, công nghệ học
telephone n., v.   AAA/´telefoun /   BBB máy điện thoại, gọi điện thoại
television n.   AAA/´televiʒn /   BBB vô tuyến truyền hình
tell v.   AAA/tel /   BBB nói, nói với
temperature n.   AAA/´tempritʃə /   BBB nhiệt độ
temporary adj.   AAA/ˈtɛmpəˌrɛri /   BBB tạm thời, nhất thời
temporarily adv.   AAA/'tempзrзlti /   BBB tạm
tend v.   AAA/tend /   BBB trông nom, chăm sóc, giữ gìn, hầu hạ
tendency n.   AAA/ˈtɛndənsi /   BBB xu hướng, chiều hướng, khuynh hướng
tension n.   AAA/'tenʃn /   BBB sự căng, độ căng, tình trạng căng
tent n.   AAA/tent /   BBB lều, rạp
term n.   AAA/tɜ:m /   BBB giới hạn, kỳ hạn, khóa, kỳ học
terrible adj.   AAA/'terəbl /   BBB khủng khiếp, ghê sợ
terribly adv.   AAA/'terəbli /   BBB tồi tệ, không chịu nổi
test n., v.   AAA/test /   BBB bài kiểm tra, sự thử nghiệm, xét nghiệm; kiểm tra, xét nghiệm, thử nghiệm
text n.   AAA/tɛkst /   BBB nguyên văn, bản văn, chủ đề, đề tì
than prep., conj.   AAA/ðæn /   BBB hơn
thank v.   AAA/θæŋk /   BBB cám ơn
thanks exclamation, n.   AAA/'θæŋks /   BBB sự cảm ơn, lời cảm ơn
that det., pron., conj.   AAA/ðæt /   BBB người ấy, đó, vật ấy, đó; rằng, là
the definite article   AAA/ði:, ði, ðз /   BBB cái, con, người, ấy này....
theatre  n.   AAA/ˈθiətər /   BBB rạp hát, nhà hát
their det.   AAA/ðea  /   BBB của chúng, của chúng nó, của họ
theirs pron.   AAA/ðeəz /   BBB của chúng, của chúng nó, của họ
them pron.   AAA/ðem /   BBB chúng, chúng nó, họ
theme n.   AAA/θi:m /   BBB đề tài, chủ đề
themselves pron.   AAA/ðəm'selvz /   BBB tự chúng, tự họ, tự
then adv.   AAA/ðen /   BBB khi đó, lúc đó, tiếp đó
theory n.   AAA/'θiəri /   BBB lý thuyết, học thuyết
there adv.   AAA/ðeз /   BBB ở nơi đó, tại nơi đó
therefore adv.   AAA/'ðeəfɔ:  /   BBB bởi vậy, cho nên, vì thế
they pron.   AAA/ðei /   BBB chúng, chúng nó, họ; những cái ấy
thick adj.   AAA/θik /   BBB dày; đậm
thickly adv.   AAA/θikli /   BBB dày; dày đặc; thành lớp dày
thickness n.   AAA/´θiknis /   BBB tính chất dày, độ dày, bề dày
thief n.   AAA/θi:f /   BBB kẻ trộm, kẻ cắp
thin adj.   AAA/θin /   BBB mỏng, mảnh
thing n.   AAA/θiŋ /   BBB cái, đồ, vật
think v.   AAA/θiŋk /   BBB nghĩ, suy nghĩ
thinking n.   AAA/'θiŋkiŋ /   BBB sự suy nghĩ, ý nghĩ
thirsty adj.   AAA/´θə:sti /   BBB khát, cảm thấy khát
this det., pron.   AAA/ðis /   BBB cái này, điều này, việc này
thorough adj.   AAA/'θʌrə /   BBB cẩn thận, kỹ lưỡng
thoroughly adv.   AAA/'θʌrəli /   BBB kỹ lưỡng, thấu đáo, triệt để
though conj., adv.   AAA/ðəʊ /   BBB dù, dù cho, mặc dù; mặc dù, tuy nhiên, tuy vậy
thought n.   AAA/θɔ:t /   BBB sự suy nghĩ, khả năng suy nghĩ; ý nghĩ, tư tưởng, tư duy
thread n.   AAA/θred /   BBB chỉ, sợi chỉ, sợi dây
threat n.   AAA/θrɛt /   BBB sự đe dọa, lời đe dọa
threaten v.   AAA/'θretn /   BBB dọa, đe dọa
threatening adj.   AAA/´θretəniη /   BBB sự đe dọa, sự hăm dọa
throat n.   AAA/θrout /   BBB cổ, cổ họng
through prep., adv.   AAA/θru: /   BBB qua, xuyên qua
throughout prep., adv.   AAA/θru:'aut /   BBB khắp, suốt
throw v.   AAA/θrou /   BBB ném, vứt, quăng
thumb n.   AAA/θʌm /   BBB ngón tay cái
thursday n.   AAA/´θə:zdi /   BBB thứ 5
thus adv.   AAA/ðʌs /   BBB như vậy, như thế, do đó
ticket n.   AAA/'tikit /   BBB vé
tidy adj., v.   AAA/´taidi /   BBB sạch sẽ, ngăn nắp, gọn gàng; làm cho sạch sẽ, gọn gàng, ngăn nắp
untidy adj.   AAA/ʌn´taidi /   BBB không gọn gàng, không ngăn nắp, lộn xộn
tie v., n.   AAA/tai /   BBB buộc, cột, trói; dây buộc, daay trói, dây giày
tight adj., adv.   AAA/tait /   BBB kín, chặt, chật
